epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.353,1.42563,3.68366,1.23547,0.00595,0.94118,0.79811,0.54247,0.95887,3.42162,0.87426,0.00024,0.00024,0.00024
2,449.887,1.15705,2.06347,0.99745,0.0034,1,0.7866,0.44946,0.9907,3.54128,0.91245,0.0004901,0.0004901,0.0004901
3,719.492,1.08868,1.65877,0.98518,0.0034,1,0.22981,0.0754,1.01353,3.61753,0.98063,0.000729904,0.000729904,0.000729904
4,846.403,1.12864,1.54544,1.02043,1,0.03796,0.58691,0.37956,1.02667,3.33849,1.01649,0.000959412,0.000959412,0.000959412
5,991.112,1.19345,1.49249,1.02597,1,0.46523,0.86422,0.59769,1.11483,3.06792,1.0396,0.00117862,0.00117862,0.00117862
6,1130.22,1.10879,1.52867,1.04042,0.9391,0.60478,0.7794,0.52477,1.12611,2.83487,1.03412,0.00138754,0.00138754,0.00138754
7,1274.28,1.12433,1.34383,1.03268,0.81096,0.54902,0.64723,0.41375,1.27679,2.81775,1.14317,0.00158616,0.00158616,0.00158616
8,1393.21,1.1064,1.33166,1.02985,0.73467,0.54902,0.63509,0.41336,1.21298,2.51765,1.1056,0.0017228,0.0017228,0.0017228
9,1509.88,1.05192,1.21003,1.04302,0.96803,0.78431,0.85338,0.61353,1.09724,2.04172,1.08632,0.0016832,0.0016832,0.0016832
10,1621.63,1.0778,1.17149,1.02952,0.99573,0.86275,0.92976,0.66557,1.07831,1.4278,1.07895,0.0016436,0.0016436,0.0016436
11,1755.94,1.07871,1.12181,1.007,0.95818,0.89852,0.93814,0.6475,1.12464,1.46795,1.08131,0.001604,0.001604,0.001604
12,1905.78,1.03378,1.04293,0.9694,0.83417,0.86275,0.92909,0.62247,1.08367,1.3886,1.10296,0.0015644,0.0015644,0.0015644
13,2031.86,1.05346,1.04442,1.01384,0.76317,0.88235,0.89576,0.62917,1.02025,1.74766,1.03997,0.0015248,0.0015248,0.0015248
14,2153.82,1.02598,0.96326,0.99431,1,0.97585,0.98615,0.71613,0.96399,1.05308,0.98282,0.0014852,0.0014852,0.0014852
15,2281.85,1.03432,0.97453,0.98389,0.96136,0.9757,0.98898,0.73081,0.93396,0.93122,0.97322,0.0014456,0.0014456,0.0014456
16,2405.63,1.0074,0.90054,0.98921,0.99727,0.96078,0.9935,0.73117,0.94612,0.90105,0.95938,0.001406,0.001406,0.001406
17,2537.67,1.00979,0.86806,0.97099,0.99738,0.94118,0.98453,0.66404,1.03916,0.91885,0.97382,0.0013664,0.0013664,0.0013664
18,2670.14,1.04621,0.8766,1.02459,0.99224,0.96078,0.99388,0.73398,0.90682,0.94753,0.97226,0.0013268,0.0013268,0.0013268
19,2796.62,1.03736,0.8151,0.99528,0.94001,0.96078,0.98779,0.67812,0.92754,0.91528,0.96544,0.0012872,0.0012872,0.0012872
20,2947.51,0.97725,0.80284,0.96884,1,0.97354,0.99444,0.72183,0.9673,0.79731,0.97882,0.0012476,0.0012476,0.0012476
21,3086.65,1.00121,0.80441,0.97868,0.98031,0.97628,0.99316,0.7183,0.9501,0.79486,0.97283,0.001208,0.001208,0.001208
22,3201.82,0.93573,0.79638,0.96341,0.92685,1,0.99069,0.68427,1.06942,0.83109,1.00043,0.0011684,0.0011684,0.0011684
23,3323,0.96013,0.8082,0.97129,0.98007,1,0.99404,0.73955,0.86954,0.76878,0.95145,0.0011288,0.0011288,0.0011288
24,3444.77,0.86743,0.72158,0.93863,0.97995,0.95824,0.99213,0.73531,0.87709,0.72046,0.93741,0.0010892,0.0010892,0.0010892
25,3564.39,0.9028,0.6992,0.94604,0.95881,1,0.99305,0.75323,0.88805,0.69654,0.94102,0.0010496,0.0010496,0.0010496
26,3681.98,0.90756,0.69712,0.9515,0.97014,0.98039,0.99205,0.73438,0.96275,0.72551,0.9564,0.00101,0.00101,0.00101
27,3802.26,0.94764,0.69517,0.95192,0.97948,0.93596,0.98112,0.71929,0.90686,0.74283,0.95436,0.0009704,0.0009704,0.0009704
28,3920.8,0.89007,0.66362,0.94265,0.97978,0.9503,0.99096,0.75685,0.86434,0.64148,0.93008,0.0009308,0.0009308,0.0009308
29,4040.14,0.86462,0.64486,0.9371,0.95859,0.96078,0.99108,0.75729,0.85555,0.64709,0.92336,0.0008912,0.0008912,0.0008912
30,4158.23,0.83753,0.59505,0.9124,0.97454,0.96078,0.98752,0.74767,0.92181,0.64453,0.93669,0.0008516,0.0008516,0.0008516
31,4277.13,0.8273,0.62059,0.9198,0.95349,1,0.99189,0.75177,0.8803,0.62431,0.92597,0.000812,0.000812,0.000812
32,4396.84,0.83714,0.61456,0.92235,0.97499,1,0.99288,0.74858,0.86358,0.59041,0.92729,0.0007724,0.0007724,0.0007724
33,4517.97,0.89169,0.62371,0.93594,0.98012,1,0.9925,0.7518,0.86257,0.57713,0.92908,0.0007328,0.0007328,0.0007328
34,4636.22,0.82444,0.59507,0.9077,0.98075,0.99889,0.99327,0.74493,0.87467,0.58651,0.93578,0.0006932,0.0006932,0.0006932
35,4736.25,0.824,0.58714,0.91787,0.97919,1,0.995,0.75884,0.83761,0.55906,0.91653,0.0006536,0.0006536,0.0006536
36,4828.5,0.78838,0.55524,0.90394,0.97657,1,0.99404,0.76998,0.80987,0.54386,0.91945,0.000614,0.000614,0.000614
37,4929.22,0.77552,0.55453,0.91876,1,0.97874,0.99481,0.76994,0.77912,0.53727,0.90379,0.0005744,0.0005744,0.0005744
38,5063.76,0.77109,0.5643,0.91775,0.97919,1,0.99365,0.77702,0.78588,0.51713,0.90656,0.0005348,0.0005348,0.0005348
39,5177.86,0.75475,0.5425,0.90885,0.97787,1,0.99481,0.77284,0.8232,0.53273,0.91564,0.0004952,0.0004952,0.0004952
40,5276.2,0.78802,0.5414,0.91022,0.98624,1,0.995,0.77689,0.80674,0.51805,0.92368,0.0004556,0.0004556,0.0004556
41,5372.95,0.7234,0.54756,0.89502,1,0.99203,0.995,0.76933,0.82581,0.53161,0.92107,0.000416,0.000416,0.000416
42,5471.34,0.69252,0.51448,0.89659,0.9983,1,0.995,0.76254,0.85055,0.53048,0.9229,0.0003764,0.0003764,0.0003764
43,5590.07,0.6968,0.50913,0.87268,0.99606,1,0.995,0.75146,0.89312,0.52224,0.92422,0.0003368,0.0003368,0.0003368
44,5694.82,0.70165,0.50743,0.88188,0.97793,1,0.99481,0.7625,0.84205,0.51603,0.91565,0.0002972,0.0002972,0.0002972
45,5799.79,0.66831,0.51011,0.88557,0.97873,1,0.99442,0.75363,0.82724,0.51359,0.9173,0.0002576,0.0002576,0.0002576
46,5907.59,0.69146,0.50592,0.88816,0.97869,1,0.99442,0.75788,0.8279,0.5082,0.91878,0.000218,0.000218,0.000218
47,6009.35,0.64069,0.48542,0.85878,0.9928,1,0.995,0.77109,0.81461,0.49322,0.91695,0.0001784,0.0001784,0.0001784
48,6125.52,0.63585,0.47318,0.85586,0.99534,1,0.995,0.76245,0.83252,0.47924,0.91814,0.0001388,0.0001388,0.0001388
49,6229.06,0.64468,0.4828,0.86974,0.99567,1,0.995,0.7664,0.83801,0.47816,0.91611,9.92e-05,9.92e-05,9.92e-05
50,6333.08,0.61956,0.46908,0.86214,0.99646,1,0.995,0.77248,0.81781,0.47519,0.91261,5.96e-05,5.96e-05,5.96e-05
