epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.672,1.27667,3.29769,1.15217,0.00337,1,0.59155,0.22941,0.96813,3.59944,0.93824,0.0003,0.0003,0.0003
2,1218.46,1.1234,1.88982,1.02573,0.00333,0.98913,0.17197,0.06771,0.95665,3.66773,0.96236,0.000607724,0.000607724,0.000607724
3,1365.21,1.10756,1.65417,0.99994,0.00333,0.98913,0.05004,0.03754,0.93294,3.59887,0.97729,0.000902776,0.000902776,0.000902776
4,1484.95,1.11581,1.53639,1.01394,1,0.20552,0.52015,0.36778,1.0766,3.5708,1.03982,0.00118516,0.00118516,0.00118516
5,1601.52,1.16976,1.55124,1.03852,1,0.16692,0.4374,0.24736,1.49419,3.68847,1.21919,0.00145486,0.00145486,0.00145486
6,1718.04,1.17104,1.43191,1.09345,0.94737,0.69565,0.85101,0.5748,1.10241,2.52695,1.03891,0.0017119,0.0017119,0.0017119
7,1832.81,1.08779,1.30715,1.04233,0.81927,0.83764,0.89908,0.59831,1.17687,1.75612,1.08339,0.0017624,0.0017624,0.0017624
8,1946.37,1.12056,1.19862,1.01081,0.88378,0.81522,0.88717,0.5719,1.19819,1.7234,1.08891,0.0017228,0.0017228,0.0017228
9,2059.7,1.10947,1.15132,1.04144,0.81507,0.86238,0.89629,0.64326,0.96919,1.70069,0.99832,0.0016832,0.0016832,0.0016832
10,2173.3,1.1504,1.13453,1.01842,0.7991,0.82151,0.84494,0.59184,1.09762,1.74217,1.03678,0.0016436,0.0016436,0.0016436
11,2286.45,1.02238,1.13206,0.95232,0.88835,0.86957,0.93454,0.6265,1.02447,1.36744,0.99981,0.001604,0.001604,0.001604
12,2400.5,1.10828,0.9471,0.99402,0.89439,0.80435,0.90942,0.59983,1.13615,1.18938,1.03209,0.0015644,0.0015644,0.0015644
13,2514.4,1.16766,0.96535,1.04443,0.95516,0.95652,0.98979,0.64743,1.09739,1.0369,1.01519,0.0015248,0.0015248,0.0015248
14,2627.45,1.00137,0.85052,0.9622,0.92799,0.98058,0.98621,0.65543,1.11407,0.94955,1.00034,0.0014852,0.0014852,0.0014852
15,2741.32,1.01636,0.86208,0.98981,0.97307,0.97826,0.99242,0.76441,0.87668,0.92786,0.93959,0.0014456,0.0014456,0.0014456
16,2855.11,0.9937,0.78256,0.98497,0.96692,0.96739,0.98125,0.72146,0.91536,0.8862,0.94565,0.001406,0.001406,0.001406
17,2968.27,0.95228,0.74646,0.97938,0.94651,1,0.99168,0.76549,0.81609,0.77209,0.91317,0.0013664,0.0013664,0.0013664
18,3083.24,0.9672,0.75191,0.96501,1,0.97669,0.99468,0.75108,0.8772,0.77414,0.92377,0.0013268,0.0013268,0.0013268
19,3196.04,1.02749,0.749,1.01887,0.9972,0.98913,0.99479,0.76466,0.82673,0.72549,0.91573,0.0012872,0.0012872,0.0012872
20,3307.28,0.98551,0.73339,0.96584,0.99719,1,0.995,0.77656,0.79114,0.67994,0.91065,0.0012476,0.0012476,0.0012476
21,3419.4,1.00039,0.72651,0.98819,1,0.99915,0.995,0.76888,0.82458,0.65745,0.91022,0.001208,0.001208,0.001208
22,3531.97,0.9046,0.7091,0.96419,1,0.99584,0.995,0.79162,0.7813,0.63459,0.90247,0.0011684,0.0011684,0.0011684
23,3644.67,0.88254,0.67916,0.92915,0.9988,0.98913,0.99385,0.78857,0.77507,0.65859,0.90212,0.0011288,0.0011288,0.0011288
24,3755.21,0.97741,0.69437,0.97545,0.98903,0.98032,0.99468,0.79819,0.77773,0.6637,0.90932,0.0010892,0.0010892,0.0010892
25,3868.34,0.85281,0.64652,0.9529,1,0.98745,0.99458,0.80252,0.75055,0.59914,0.89463,0.0010496,0.0010496,0.0010496
26,3981.56,0.89398,0.66475,0.93175,0.98623,1,0.99478,0.80982,0.75262,0.59007,0.89943,0.00101,0.00101,0.00101
27,4094.86,0.98772,0.68287,0.95532,1,0.9882,0.99479,0.77426,0.76472,0.57385,0.89523,0.0009704,0.0009704,0.0009704
28,4206.33,0.88645,0.63216,0.9665,0.99321,0.97826,0.99447,0.74161,0.85994,0.6072,0.91315,0.0009308,0.0009308,0.0009308
29,4331.01,0.80607,0.69019,0.87964,0.98894,1,0.99489,0.81697,0.70326,0.53047,0.88153,0.0008912,0.0008912,0.0008912
30,4445.51,0.8604,0.58088,0.92565,0.99692,1,0.995,0.79024,0.73073,0.54012,0.89321,0.0008516,0.0008516,0.0008516
31,4557.01,0.83896,0.56793,0.91502,0.99826,1,0.995,0.79031,0.73229,0.51427,0.89412,0.000812,0.000812,0.000812
32,4668.23,0.77181,0.55844,0.91577,0.99891,1,0.995,0.83453,0.6856,0.50586,0.87893,0.0007724,0.0007724,0.0007724
